Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
1;33;Del Giro;96606310-6;BREDENMASTER SpA;1658678;23/03/2019;23/03/2019 01:48:06;;0;138840;26379;;;165219;;;;;0;;;;0;;;;
2;33;Del Giro;96565260-4;TRESMONTES LUCCHETTI SERVICIOS S.A.;5219639;23/03/2019;23/03/2019 06:28:00;;0;20884;3968;;;25312;;;;;0;;;;0;27;460;10;
3;33;Del Giro;93178000-K;IMPORTADORA CAFE DO BRASIL S.A.;9421633;23/03/2019;23/03/2019 16:13:39;;0;51060;9701;;;60761;;;;;0;;;;0;;;;
4;33;Del Giro;76782875-6;DON PAN CHILE SPA;704;24/03/2019;24/03/2019 20:02:14;;0;43680;8299;;;51979;;;;;0;;;;0;;;;
5;33;Del Giro;96606310-6;BREDENMASTER SpA;1659326;25/03/2019;25/03/2019 04:54:19;;0;247816;47085;;;294901;;;;;0;;;;0;;;;
6;33;Del Giro;76619235-1;COMERCIALIZADORA NISSI LIMITADA;11088;25/03/2019;25/03/2019 17:55:25;;0;27227;5173;;;32400;;;;;0;;;;0;;;;
7;33;Del Giro;76891214-9;DIST.Y COMERCIAL CECILIO A. HIDALGO SPA;22462;26/03/2019;25/03/2019 18:47:36;;0;55265;10500;;;65765;;;;;0;;;;0;;;;
8;33;Del Giro;79684790-5;Promerco S.A.;1244086;26/03/2019;26/03/2019 01:47:44;;0;90904;17272;;;111122;;;;;0;;;;0;271;2946;18;
9;33;Del Giro;79684790-5;Promerco S.A.;1244087;26/03/2019;26/03/2019 01:47:44;;0;35918;6824;;;46894;;;;;0;;;;0;27;1540;10;
;33;Del Giro;79684790-5;Promerco S.A.;1244087;26/03/2019;;;;;;;;;;;;;;;;;;271;2612;18;
10;33;Del Giro;80186300-0;CONSORCIO INDUSTRIAL DE ALIMENTOS S.A.;29808827;26/03/2019;26/03/2019 03:10:43;;0;22875;4346;;;27221;;;;;0;;;;0;;;;
11;33;Del Giro;91144000-8;Embotelladora Andina S.A.;59740404;26/03/2019;26/03/2019 05:44:04;;0;41421;7870;;;49291;;;;;0;;;;0;;;;
12;33;Del Giro;91144000-8;Embotelladora Andina S.A.;59740419;26/03/2019;26/03/2019 05:44:04;;0;78415;14899;;;101695;;;;;0;;;;0;27;4837;10;
;33;Del Giro;91144000-8;Embotelladora Andina S.A.;59740419;26/03/2019;;;;;;;;;;;;;;;;;;271;3544;18;
13;33;Del Giro;76905062-0;DISTRIBUIDORA , COMERCIALIZADORA DE PRODUCTOS DE REPOSTERIA Y BANQUETE;232;26/03/2019;26/03/2019 08:29:18;;0;13500;2565;;;16065;;;;;0;;;;0;;;;
