Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
1;33;Del Giro;91144000-8;Embotelladora Andina S.A.;63644838;21/02/2020;21/02/2020 01:07:11;;0;20169;3832;;;24001;;;;;0;;;;0;;;;
2;33;Del Giro;80634800-7;MODINGER HERMANOS SOCIEDAD ANONIMA;2635740;25/02/2020;25/02/2020 17:45:20;;0;28189;5356;;;33545;;;;;0;;;;0;;;;
3;33;Del Giro;76881543-7;LÁCTEOS DANIEL ROMERO SILVA EMPRESA E.I.R.L.;2342;21/02/2020;25/02/2020 17:52:10;;0;27583;5241;;;32824;;;;;0;;;;0;;;;
4;33;Del Giro;76382964-2;GASTRONOMIA ASSANABEL LIMITADA;18997;26/02/2020;26/02/2020 08:35:12;;0;10260;1949;;;12209;;;;;0;;;;0;;;;
5;33;Del Giro;76047659-5;Comercial Ferrbest S.A.;2395037;27/02/2020;26/02/2020 10:43:44;;0;29699;5643;;;35342;;;;;0;;;;0;;;;
6;33;Del Giro;92091000-9;Unilever Chile Ltda.;5717092;26/02/2020;26/02/2020 21:21:05;;0;55143;10477;;;65620;;;;;0;;;;0;;;;
7;33;Del Giro;76462500-5;SURTI VENTAS S.A.;3530445;27/02/2020;27/02/2020 05:16:27;;0;76124;14464;;;90588;;;;;0;;;;0;;;;
8;33;Del Giro;91004000-6;PRODUCTOS FERNANDEZ S.A.;21642456;26/02/2020;27/02/2020 12:55:43;;0;12672;2408;;;15080;;;;;0;;;;0;;;;
9;33;Del Giro;91004000-6;PRODUCTOS FERNANDEZ S.A.;21642457;26/02/2020;27/02/2020 12:55:43;;0;196149;37268;;;233417;;;;;0;;;;0;;;;
10;33;Del Giro;77526480-2;Comercializadora Novaverde S.A;1451291;28/02/2020;27/02/2020 13:49:01;;0;26010;4942;;;30952;;;;;0;;;;0;;;;
11;33;Del Giro;52003754-3;FELIX E.BAEZA C.COM.ARC-DOS COMERC. EIRL;1870500;28/02/2020;27/02/2020 18:01:47;;0;25894;4920;;;31203;;;;;0;;;;0;19;389;12;
12;33;Del Giro;96606310-6;BREDENMASTER SpA;1889564;28/02/2020;28/02/2020 03:15:32;;0;166869;31705;;;198574;;;;;0;;;;0;;;;
13;33;Del Giro;91144000-8;Embotelladora Andina S.A.;63726797;28/02/2020;28/02/2020 04:34:34;;0;73188;13906;;;96146;;;;;0;;;;0;271;6663;18;
;33;Del Giro;91144000-8;Embotelladora Andina S.A.;63726797;28/02/2020;;;;;;;;;;;;;;;;;;27;2389;10;
14;33;Del Giro;96565260-4;TRESMONTES LUCCHETTI SERVICIOS S.A.;5867592;29/02/2020;29/02/2020 01:47:48;;0;27281;5183;;;33667;;;;;0;;;;0;27;1203;10;
15;33;Del Giro;93178000-K;IMPORTADORA CAFE DO BRASIL S.A.;10741583;21/02/2020;29/02/2020 05:34:54;;0;41063;7801;;;48864;;;;;0;;;;0;;;;
16;33;Del Giro;93178000-K;IMPORTADORA CAFE DO BRASIL S.A.;10741611;28/02/2020;29/02/2020 10:38:47;;0;91056;17301;;;108357;;;;;0;;;;0;;;;
17;33;Del Giro;17119330-3;ROMINA NIKOL MARCHANT BAUER;6641;29/02/2020;29/02/2020 11:47:24;;0;19261;3659;;;22920;;;;;0;;;;0;;;;
18;33;Del Giro;76462500-5;SURTI VENTAS S.A.;3532834;02/03/2020;29/02/2020 12:32:52;;0;66324;12602;;;78926;;;;;0;;;;0;;;;
19;33;Del Giro;76469864-9;ANTOJITOS AHUMADOS LIMITADA;7765;29/02/2020;29/02/2020 15:20:59;;0;26891;5109;;;32000;;;;;0;;;;0;;;;
20;33;Del Giro;96606310-6;BREDENMASTER SpA;1890756;02/03/2020;29/02/2020 16:43:38;;0;199431;37892;;;237323;;;;;0;;;;0;;;;
21;33;Del Giro;76950618-7;RASAN DELICIAS SPA;98;01/03/2020;01/03/2020 12:28:38;;0;31640;6012;;;37652;;;;;0;;;;0;;;;
22;33;Del Giro;77030204-8;INVERSIONES FERCHE SPA;189;01/03/2020;01/03/2020 23:55:37;;0;43240;8216;;;51456;;;;;0;;;;0;;;;
23;33;Del Giro;76481576-9;ASF LOGISTICA SPA;3625348;29/02/2020;02/03/2020 02:14:31;;0;113774;21617;;;136098;;;;;0;;;;0;27;707;10;
24;33;Del Giro;91144000-8;Embotelladora Andina S.A.;63759160;03/03/2020;02/03/2020 09:40:22;;0;73128;13894;;;88102;;;;;0;;;;0;27;1080;10;
25;33;Del Giro;91144000-8;Embotelladora Andina S.A.;63759167;03/03/2020;02/03/2020 09:40:22;;0;149820;28466;;;195866;;;;;0;;;;0;27;7029;10;
;33;Del Giro;91144000-8;Embotelladora Andina S.A.;63759167;03/03/2020;;;;;;;;;;;;;;;;;;271;10551;18;
26;33;Del Giro;76876252-K;AGUA PURIFICADA ESTRELLA GREEN SPA;4879;02/03/2020;02/03/2020 12:13:51;;0;15294;2906;;;18200;;;;;0;;;;0;;;;
27;33;Del Giro;76966582-K;QUESOS VETTEL LIMITADA;673;27/02/2020;02/03/2020 15:34:39;;0;27476;5220;;;32696;;;;;0;;;;0;;;;
28;33;Del Giro;96689310-9;TRANSBANK S.A.;31616016;27/02/2020;02/03/2020 16:27:32;;0;120157;22830;;;142987;;;;;0;;;;0;;;;
29;33;Del Giro;76891214-9;DIST.Y COMERCIAL CECILIO A. HIDALGO SPA;77212;03/03/2020;02/03/2020 17:41:02;;0;17372;3301;;;20673;;;;;0;;;;0;;;;
30;33;Del Giro;84472400-4;Comercial Santa Elena S A;25734811;03/03/2020;02/03/2020 23:10:40;;0;42905;8152;;;51057;;;;;0;;;;0;;;;
31;33;Del Giro;94528000-K;Evercrisp;22722205;03/03/2020;03/03/2020 06:35:37;;0;9325;1772;;;11097;;;;;0;;;;0;;;;
32;33;Del Giro;76881543-7;LÁCTEOS DANIEL ROMERO SILVA EMPRESA E.I.R.L.;2378;28/02/2020;03/03/2020 11:59:46;;0;29877;5677;;;35554;;;;;0;;;;0;;;;
33;33;Del Giro;76966582-K;QUESOS VETTEL LIMITADA;689;02/03/2020;03/03/2020 12:28:25;;0;8400;1596;;;9996;;;;;0;;;;0;;;;
34;33;Del Giro;17677265-4;NICOLAS SAMUEL EDUARDO TRIGO CHANDIA;627;03/03/2020;03/03/2020 13:35:50;;0;36471;6929;;;43400;;;;;0;;;;0;;;;
35;33;Del Giro;80634800-7;MODINGER HERMANOS SOCIEDAD ANONIMA;2643002;03/03/2020;03/03/2020 18:02:18;;0;16758;3184;;;19942;;;;;0;;;;0;;;;
36;33;Del Giro;96891340-9;Distribucion y Representaciones Comerciales S.A.;50031;04/03/2020;03/03/2020 18:18:26;;0;30280;5753;;;36033;;;;;0;;;;0;;;;
37;33;Del Giro;82623500-4;Ideal S.A.;34177416;03/03/2020;03/03/2020 20:33:33;;0;32426;6161;;;38587;;;;;0;;;;0;;;;
