Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
1;33;Del Giro;96606310-6;BREDENMASTER SpA;2409115;23/03/2022;23/03/2022 04:31:26;;0;144701;27493;;;172194;;;;;0;;;;0;;;;
2;33;Del Giro;76966582-K;QUESOS VETTEL LIMITADA;3307;23/03/2022;23/03/2022 06:52:25;;0;10084;1916;;;12000;;;;;0;;;;0;;;;
3;33;Del Giro;77086861-0;DISTRIBUIDORA MERIDA SPA;8811;23/03/2022;23/03/2022 10:00:32;;0;21144;4017;;;25161;;;;;0;;;;0;;;;
4;33;Del Giro;76047659-5;Comercial Ferrbest S.A.;2945881;24/03/2022;23/03/2022 12:38:55;;0;8540;1623;;;10163;;;;;0;;;;0;;;;
5;33;Del Giro;76824619-K;ENTUNEGOCIO SPA;537685;24/03/2022;23/03/2022 15:50:44;;0;13900;2641;;;16541;;;;;0;;;;0;;;;
6;33;Del Giro;52003754-3;FELIX E.BAEZA C.COM.ARC-DOS COMERC. EIRL;2170133;24/03/2022;23/03/2022 17:28:09;;0;64988;12348;;;78474;;;;;0;;;;0;19;1138;12;
7;33;Del Giro;76047659-5;Comercial Ferrbest S.A.;2945880;24/03/2022;23/03/2022 18:17:03;;0;89847;17071;;;106918;;;;;0;;;;0;;;;
8;33;Del Giro;80186300-0;CONSORCIO INDUSTRIAL DE ALIMENTOS S.A.;39037303;24/03/2022;24/03/2022 03:44:21;;0;37146;7058;;;44204;;;;;0;;;;0;;;;
9;33;Del Giro;96606310-6;BREDENMASTER SpA;2410191;24/03/2022;24/03/2022 04:26:34;;0;74542;14163;;;88705;;;;;0;;;;0;;;;
10;33;Del Giro;91144000-8;Embotelladora Andina S.A.;73290363;25/03/2022;24/03/2022 13:00:36;;0;193614;36787;;;243114;;;;;0;;;;0;27;6277;10;
;33;Del Giro;91144000-8;Embotelladora Andina S.A.;73290363;25/03/2022;;;;;;;;;;;;;;;;;;271;6436;18;
11;33;Del Giro;91144000-8;Embotelladora Andina S.A.;73290352;25/03/2022;24/03/2022 13:00:36;;0;126613;24056;;;166005;;;;;0;;;;0;27;5832;10;
;33;Del Giro;91144000-8;Embotelladora Andina S.A.;73290352;25/03/2022;;;;;;;;;;;;;;;;;;271;9504;18;
12;33;Del Giro;76059349-4;COMERCIALIZADORA Y ELABORADORA ZE FARMS S.p.A.;222935;24/03/2022;24/03/2022 16:20:15;;0;57110;10851;;;67961;;;;;0;;;;0;;;;
13;33;Del Giro;91004000-6;PRODUCTOS FERNANDEZ S.A.;28246655;24/03/2022;25/03/2022 00:32:59;;0;327495;62223;;;389718;;;;;0;;;;0;;;;
14;33;Del Giro;96606310-6;BREDENMASTER SpA;2411480;25/03/2022;25/03/2022 05:39:20;;0;204584;38871;;;243455;;;;;0;;;;0;;;;
15;33;Del Giro;96606310-6;BREDENMASTER SpA;2411503;25/03/2022;25/03/2022 05:41:35;;0;55139;10476;;;65615;;;;;0;;;;0;;;;
16;33;Del Giro;96606310-6;BREDENMASTER SpA;2411506;25/03/2022;25/03/2022 05:41:35;;0;38902;7391;;;46293;;;;;0;;;;0;;;;
