Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
1;33;Del Giro;76619235-1;COMERCIALIZADORA NISSI LIMITADA;16372;28/01/2020;28/01/2020 17:05:59;;0;65546;12454;;;78000;;;;;0;;;;0;;;;
2;33;Del Giro;76881543-7;LÁCTEOS DANIEL ROMERO SILVA EMPRESA E.I.R.L.;2236;28/01/2020;29/01/2020 16:07:43;;0;32936;6258;;;39194;;;;;0;;;;0;;;;
3;33;Del Giro;91144000-8;Embotelladora Andina S.A.;63411704;31/01/2020;31/01/2020 03:07:51;;0;16135;3066;;;19201;;;;;0;;;;0;;;;
4;33;Del Giro;76469864-9;ANTOJITOS AHUMADOS LIMITADA;7666;31/01/2020;31/01/2020 14:42:30;;0;6723;1277;;;8000;;;;;0;;;;0;;;;
5;33;Del Giro;17119330-3;ROMINA NIKOL MARCHANT BAUER;6397;01/02/2020;01/02/2020 11:33:03;;0;7010;1332;;;8342;;;;;0;;;;0;;;;
6;33;Del Giro;96606310-6;BREDENMASTER SpA;1874611;03/02/2020;03/02/2020 04:45:11;;0;117360;22298;;;139658;;;;;0;;;;0;;;;
7;33;Del Giro;76905062-0;DISTRIBUIDORA , COMERCIALIZADORA DE PRODUCTOS DE REPOSTERIA Y BANQUETE;1447;03/02/2020;03/02/2020 11:38:24;;0;19000;3610;;;22610;;;;;0;;;;0;;;;
8;33;Del Giro;96689310-9;TRANSBANK S.A.;31163487;30/01/2020;03/02/2020 13:03:47;;0;136482;25932;;;162414;;;;;0;;;;0;;;;
9;33;Del Giro;76876252-K;AGUA PURIFICADA ESTRELLA GREEN SPA;4700;30/01/2020;03/02/2020 14:48:53;;0;31681;6019;;;37700;;;;;0;;;;0;;;;
10;33;Del Giro;84472400-4;Comercial Santa Elena S A;25542536;04/02/2020;03/02/2020 15:38:21;;0;58189;11056;;;69245;;;;;0;;;;0;;;;
11;33;Del Giro;91144000-8;Embotelladora Andina S.A.;63449427;04/02/2020;04/02/2020 04:38:31;;0;41109;7811;;;48920;;;;;0;;;;0;;;;
12;33;Del Giro;91144000-8;Embotelladora Andina S.A.;63449443;04/02/2020;04/02/2020 04:38:31;;0;121473;23080;;;159320;;;;;0;;;;0;271;9728;18;
;33;Del Giro;91144000-8;Embotelladora Andina S.A.;63449443;04/02/2020;;;;;;;;;;;;;;;;;;27;5039;10;
13;33;Del Giro;94528000-K;Evercrisp;22659752;04/02/2020;04/02/2020 07:48:41;;0;7300;1387;;;8687;;;;;0;;;;0;;;;
14;33;Del Giro;13671428-7;VICTOR STARSKY LOPEZ SANHUEZA;12981;04/02/2020;04/02/2020 12:03:05;;0;40336;7664;;;48000;;;;;0;;;;0;;;;
15;33;Del Giro;76735252-2;SOCIEDAD DE INVERSIONES Y DESARROLLOS GASTRONÓMICOS BIGS LIMITADA;554;31/01/2020;04/02/2020 15:17:58;;0;25210;4790;;;30000;;;;;0;;;;0;;;;
16;33;Del Giro;76619235-1;COMERCIALIZADORA NISSI LIMITADA;16456;04/02/2020;04/02/2020 17:29:07;;0;23602;4484;;;31450;;;;;0;;;;0;23;3364;18;
17;33;Del Giro;76881543-7;LÁCTEOS DANIEL ROMERO SILVA EMPRESA E.I.R.L.;2266;03/02/2020;04/02/2020 17:51:50;;0;30205;5739;;;35944;;;;;0;;;;0;;;;
18;33;Del Giro;82623500-4;Ideal S.A.;34024441;04/02/2020;04/02/2020 20:52:55;;0;41139;7816;;;48955;;;;;0;;;;0;;;;
19;33;Del Giro;96606310-6;BREDENMASTER SpA;1875980;05/02/2020;05/02/2020 04:17:08;;0;136845;26001;;;162846;;;;;0;;;;0;;;;
20;33;Del Giro;76047659-5;Comercial Ferrbest S.A.;2381908;06/02/2020;05/02/2020 09:12:11;;0;39364;7479;;;46843;;;;;0;;;;0;;;;
21;33;Del Giro;76432368-8;DISTRIBUIDORA FRIO EXPRESS LIMITADA;51827;04/02/2020;05/02/2020 09:43:53;;0;13860;2633;;;16493;;;;;0;;;;0;;;;
22;33;Del Giro;76950618-7;RASAN DELICIAS SPA;81;05/02/2020;05/02/2020 10:39:39;;0;37920;7205;;;45125;;;;;0;;;;0;;;;
23;33;Del Giro;76782875-6;DON PAN CHILE SPA;1273;05/02/2020;05/02/2020 15:16:17;;0;17983;3417;;;21400;;;;;0;;;;0;;;;
24;33;Del Giro;22773596-1;FREDY ALFONSO ARDILA GARZON;8698;05/02/2020;05/02/2020 16:50:46;;0;48799;9272;;;58071;;;;;0;;;;0;;;;
25;33;Del Giro;76462500-5;SURTI VENTAS S.A.;3517418;06/02/2020;05/02/2020 20:16:42;;0;97101;18449;;;115550;;;;;0;;;;0;;;;
26;33;Del Giro;91004000-6;PRODUCTOS FERNANDEZ S.A.;21462565;05/02/2020;05/02/2020 22:32:07;;0;43798;8321;;;52119;;;;;0;;;;0;;;;
27;33;Del Giro;91004000-6;PRODUCTOS FERNANDEZ S.A.;21462566;05/02/2020;05/02/2020 22:32:07;;0;178244;33867;;;212111;;;;;0;;;;0;;;;
28;33;Del Giro;99554560-8;COMERCIAL CCU S.A.;104582315;06/02/2020;05/02/2020 23:11:20;;0;61147;11618;;;77143;;;;;0;;;;0;271;2421;18;
;33;Del Giro;99554560-8;COMERCIAL CCU S.A.;104582315;06/02/2020;;;;;;;;;;;;;;;;;;27;1957;10;
29;33;Del Giro;99554560-8;COMERCIAL CCU S.A.;104582316;06/02/2020;05/02/2020 23:11:20;;0;49571;9418;;;60464;;;;;0;;;;0;27;1475;10;
