Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
1;33;Del Giro;76784574-K;COTECA SPA;333;20/02/2019;20/02/2019 00:18:22;;0;207292;39385;;;246677;;;;;0;;;;0;;;;
2;33;Del Giro;96606310-6;BREDENMASTER SpA;1640477;20/02/2019;20/02/2019 05:42:59;;0;152966;29064;;;182030;;;;;0;;;;0;;;;
3;33;Del Giro;78383730-7;AVICOLA Y COMERCIAL EL TOCO LTDA;1102725;20/02/2019;20/02/2019 11:33:07;;0;45672;8678;;;54350;;;;;0;;;;0;;;;
4;33;Del Giro;77564110-K;INVERSIONES RODRIGO CABEZAS LTDA.;281944;20/02/2019;20/02/2019 17:15:17;;0;48236;9165;;;57722;;;;;0;;;;0;27;321;10;
5;33;Del Giro;76779025-2;GRUPO HR  SPA;178;20/02/2019;20/02/2019 22:58:20;;0;52520;9979;;;62499;;;;;0;;;;0;;;;
6;33;Del Giro;91004000-6;PRODUCTOS FERNANDEZ S.A.;18353865;20/02/2019;21/02/2019 00:18:23;;0;97349;18496;;;115845;;;;;0;;;;0;;;;
7;33;Del Giro;91004000-6;PRODUCTOS FERNANDEZ S.A.;18352403;20/02/2019;21/02/2019 00:18:18;;0;6200;1178;;;7378;;;;;0;;;;0;;;;
8;33;Del Giro;76047659-5;Comercial Ferrbest S.A.;2102415;21/02/2019;21/02/2019 05:42:17;;0;40553;7705;;;48258;;;;;0;;;;0;;;;
9;33;Del Giro;76047659-5;Comercial Ferrbest S.A.;2102416;21/02/2019;21/02/2019 08:53:45;;0;2161;411;;;2572;;;;;0;;;;0;;;;
10;33;Del Giro;78921690-8;WOM S.A.;3933936;16/02/2019;22/02/2019 01:00:58;;0;27705;5264;;;32969;;;;;0;;;;0;;;;
