Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
1;33;Del Giro;76770496-8;PUNTO LATINO SPA;306;20/02/2018;20/02/2018 14:53:59;;0;131094;24908;;;156002;;;;;0;;;;0;;;;
2;33;Del Giro;76366995-5;DISTRIBUIDORA ENTRE CUATRO LIMITADA;5226;21/02/2018;21/02/2018 12:01:50;;0;87273;16582;;;103855;;;;;0;;;;0;;;;
3;33;Del Giro;76366995-5;DISTRIBUIDORA ENTRE CUATRO LIMITADA;5255;21/02/2018;21/02/2018 12:46:05;;0;87273;16582;;;103855;;;;;0;;;;0;;;;
4;33;Del Giro;77564110-K;INVERSIONES RODRIGO CABEZAS LTDA.;136826;21/02/2018;21/02/2018 16:49:32;;0;52646;10003;;;62649;;;;;0;;;;0;;;;
5;33;Del Giro;76047659-5;Comercial Ferrbest S.A.;1453964;22/02/2018;21/02/2018 17:31:38;;0;20943;3979;;;24922;;;;;0;;;;0;;;;
6;33;Del Giro;76561011-7;Alimentos Cruzbeza;69214;22/02/2018;21/02/2018 20:48:09;;0;29192;5546;;;34738;;;;;0;;;;0;;;;
7;33;Del Giro;76047659-5;Comercial Ferrbest S.A.;1453963;22/02/2018;21/02/2018 22:14:02;;0;52006;9881;;;61887;;;;;0;;;;0;;;;
8;33;Del Giro;91004000-6;PRODUCTOS FERNANDEZ S.A.;14822815;21/02/2018;22/02/2018 01:03:34;;0;9200;1748;;;10948;;;;;0;;;;0;;;;
9;33;Del Giro;91004000-6;PRODUCTOS FERNANDEZ S.A.;14824457;21/02/2018;22/02/2018 01:03:42;;0;135496;25747;;;161243;;;;;0;;;;0;;;;
10;33;Del Giro;96606310-6;BREDENMASTER S.A.;1352265;22/02/2018;22/02/2018 02:00:21;;0;90568;17208;;;107776;;;;;0;;;;0;;;;
11;33;Del Giro;76763819-1;MEGASWEET SPA;1119;22/02/2018;22/02/2018 10:06:55;;0;19027;3615;;;22642;;;;;0;;;;0;;;;
