Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
1;33;Del Giro;77704340-4;ALIMENTOS DAILY FRESH S.A;777967;24/01/2018;23/01/2018 20:02:15;;0;22807;4333;;;27140;;;;;0;;;;0;;;;
2;33;Del Giro;91004000-6;PRODUCTOS FERNANDEZ S.A.;14549152;23/01/2018;24/01/2018 01:15:06;;0;179250;34058;;;213308;;;;;0;;;;0;;;;
3;33;Del Giro;91004000-6;PRODUCTOS FERNANDEZ S.A.;14548269;23/01/2018;24/01/2018 01:20:11;;0;22700;4313;;;27013;;;;;0;;;;0;;;;
4;33;Del Giro;76018520-5;IMPORTADORA Y EXPORTADORA ALTAMIRA SPA;28044;24/01/2018;24/01/2018 09:29:51;;0;59826;11367;;;74399;;;;;0;;;;0;271;3206;18;
5;33;Del Giro;76366995-5;DISTRIBUIDORA ENTRE CUATRO LIMITADA;4779;24/01/2018;24/01/2018 11:11:40;;0;67375;12801;;;80176;;;;;0;;;;0;;;;
6;33;Del Giro;76047659-5;Comercial Ferrbest S.A.;1426479;25/01/2018;24/01/2018 16:33:00;;0;31091;5907;;;36998;;;;;0;;;;0;;;;
7;33;Del Giro;77564110-K;INVERSIONES RODRIGO CABEZAS LTDA.;131901;24/01/2018;24/01/2018 17:14:09;;0;35117;6672;;;42110;;;;;0;;;;0;27;321;10;
8;33;Del Giro;76070419-9;COMERCIAL DICATO LTDA.;124643;25/01/2018;24/01/2018 18:02:54;;0;69860;13273;;;84026;;;;;0;;;;0;27;893;10;
9;33;Del Giro;78383730-7;AVICOLA Y COMERCIAL EL TOCO LTDA;804653;25/01/2018;24/01/2018 21:43:21;;0;10515;1998;;;12513;;;;;0;;;;0;;;;
10;33;Del Giro;76047659-5;Comercial Ferrbest S.A.;1426480;25/01/2018;25/01/2018 02:36:40;;0;51176;9723;;;60899;;;;;0;;;;0;;;;
11;33;Del Giro;96606310-6;BREDENMASTER S.A.;1336185;25/01/2018;25/01/2018 04:44:03;;0;190912;36273;;;227185;;;;;0;;;;0;;;;
12;33;Del Giro;76763819-1;MEGASWEET SPA;922;25/01/2018;25/01/2018 10:35:31;;0;26218;4981;;;31199;;;;;0;;;;0;;;;
13;33;Del Giro;76306723-8;DISTRIBUIDORA INICIO LTDA.;20980;24/01/2018;25/01/2018 13:18:52;;0;119697;22742;;;154587;;;;;0;;;;0;271;7250;18;
;33;Del Giro;76306723-8;DISTRIBUIDORA INICIO LTDA.;20980;24/01/2018;;;;;;;;;;;;;;;;;;27;4898;10;
14;33;Del Giro;78383730-7;AVICOLA Y COMERCIAL EL TOCO LTDA;804436;24/01/2018;25/01/2018 13:54:21;;0;17093;3248;;;20341;;;;;0;;;;0;;;;
15;33;Del Giro;52003754-3;FELIX E.BAEZA C.COM.ARC-DOS COMERC. EIRL;1550444;26/01/2018;25/01/2018 19:07:25;;0;50803;9653;;;61091;;;;;0;;;;0;19;635;12;
16;33;Del Giro;79684790-5;Promerco S.A.;1070655;29/01/2018;26/01/2018 21:03:31;;0;54059;10271;;;66024;;;;;0;;;;0;27;368;10;
;33;Del Giro;79684790-5;Promerco S.A.;1070655;29/01/2018;;;;;;;;;;;;;;;;;;271;1326;18;
17;33;Del Giro;78383730-7;AVICOLA Y COMERCIAL EL TOCO LTDA;805770;27/01/2018;26/01/2018 22:02:09;;0;16637;3161;;;19798;;;;;0;;;;0;;;;
18;33;Del Giro;78383730-7;AVICOLA Y COMERCIAL EL TOCO LTDA;805874;27/01/2018;26/01/2018 22:08:22;;0;28416;5399;;;33815;;;;;0;;;;0;;;;
19;33;Del Giro;96606310-6;BREDENMASTER S.A.;1337516;27/01/2018;27/01/2018 04:30:08;;0;88592;16833;;;105425;;;;;0;;;;0;;;;
20;33;Del Giro;76366995-5;DISTRIBUIDORA ENTRE CUATRO LIMITADA;4857;27/01/2018;27/01/2018 12:14:27;;0;48038;9127;;;57165;;;;;0;;;;0;;;;
21;33;Del Giro;76691578-7;AMASADOS SPA;419;28/01/2018;28/01/2018 10:18:00;;0;25000;4750;;;29750;;;;;0;;;;0;;;;
22;33;Del Giro;96606310-6;BREDENMASTER S.A.;1338151;29/01/2018;29/01/2018 06:07:42;;0;251037;47697;;;298734;;;;;0;;;;0;;;;
23;33;Del Giro;76595897-0;SERVI ESTRATEGICOS LIMITADA;1936;29/01/2018;29/01/2018 10:17:00;;0;34635;6581;;;41216;;;;;0;;;;0;;;;
24;33;Del Giro;76039539-0;COMERCIAL DISCOBER LIMITADA;815966;30/01/2018;29/01/2018 17:28:10;;0;30534;5801;;;36335;;;;;0;;;;0;;;;
25;33;Del Giro;76039539-0;COMERCIAL DISCOBER LIMITADA;815967;30/01/2018;29/01/2018 17:28:51;;0;3724;708;;;4804;;;;;0;;;;0;27;372;10;
26;33;Del Giro;92091000-9;Unilever Chile Ltda.;5143129;29/01/2018;29/01/2018 23:46:30;;0;196832;37399;;;234231;;;;;0;;;;0;;;;
27;33;Del Giro;76784574-K;COTECA SPA;13;30/01/2018;30/01/2018 16:07:26;;0;44488;8453;;;52941;;;;;0;;;;0;;;;
28;33;Del Giro;76880070-7;PROSEGUR ACTIVA SERVICIOS CHILE LTDA;825416;31/01/2018;30/01/2018 17:54:20;;0;34860;6623;;;41483;;;;;0;;;;0;;;;
29;33;Del Giro;76432368-8;DISTRIBUIDORA FRIO EXPRESS LIMITADA;22232;29/01/2018;30/01/2018 18:51:50;;0;13890;2639;;;16529;;;;;0;;;;0;;;;
30;33;Del Giro;78383730-7;AVICOLA Y COMERCIAL EL TOCO LTDA;807528;31/01/2018;30/01/2018 20:41:38;;0;33274;6322;;;39596;;;;;0;;;;0;;;;
31;33;Del Giro;78383730-7;AVICOLA Y COMERCIAL EL TOCO LTDA;807587;31/01/2018;30/01/2018 20:45:13;;0;28725;5458;;;34183;;;;;0;;;;0;;;;
32;33;Del Giro;78383730-7;AVICOLA Y COMERCIAL EL TOCO LTDA;807588;31/01/2018;30/01/2018 20:45:17;;0;10246;1947;;;12193;;;;;0;;;;0;;;;
33;33;Del Giro;76165284-2;TRANSPORTE - DISTRIBUCION Y COMERCIALIZACION DE PRODUCTOS DV LTDA.;143882;31/01/2018;31/01/2018 07:54:42;;0;66490;12633;;;83922;;;;;0;;;;0;24;4799;0;
34;33;Del Giro;86520500-7;JOSE RIVERO LLAMAZALES Y COMPANIA LIMITADA;1315652;31/01/2018;31/01/2018 11:07:44;;0;3429;652;;;4081;;;;;0;;;;0;;;;
35;33;Del Giro;76366995-5;DISTRIBUIDORA ENTRE CUATRO LIMITADA;4897;31/01/2018;31/01/2018 12:15:03;;0;81270;15441;;;96711;;;;;0;;;;0;;;;
36;33;Del Giro;76306723-8;DISTRIBUIDORA INICIO LTDA.;21109;31/01/2018;31/01/2018 15:55:46;;0;112528;21380;;;146135;;;;;0;;;;0;27;4013;10;
;33;Del Giro;76306723-8;DISTRIBUIDORA INICIO LTDA.;21109;31/01/2018;;;;;;;;;;;;;;;;;;271;8215;18;
37;33;Del Giro;77564110-K;INVERSIONES RODRIGO CABEZAS LTDA.;133229;31/01/2018;31/01/2018 16:50:08;;0;59314;11270;;;70584;;;;;0;;;;0;;;;
38;33;Del Giro;76047659-5;Comercial Ferrbest S.A.;1433466;31/01/2018;31/01/2018 18:19:36;;0;5844;1110;;;6954;;;;;0;;;;0;;;;
39;33;Del Giro;76561011-7;Alimentos Cruzbeza;67238;01/02/2018;31/01/2018 21:42:02;;0;40834;7758;;;48592;;;;;0;;;;0;;;;
40;33;Del Giro;76047659-5;Comercial Ferrbest S.A.;1433465;31/01/2018;31/01/2018 21:13:33;;0;60927;11576;;;72503;;;;;0;;;;0;;;;
41;33;Del Giro;91004000-6;PRODUCTOS FERNANDEZ S.A.;14627905;31/01/2018;31/01/2018 23:39:25;;0;137647;26153;;;163800;;;;;0;;;;0;;;;
42;33;Del Giro;91004000-6;PRODUCTOS FERNANDEZ S.A.;14626963;31/01/2018;31/01/2018 23:42:16;;0;28880;5487;;;34367;;;;;0;;;;0;;;;
43;33;Del Giro;76763819-1;MEGASWEET SPA;981;01/02/2018;01/02/2018 00:17:41;;0;23560;4476;;;28036;;;;;0;;;;0;;;;
44;33;Del Giro;99554560-8;COMERCIAL CCU S.A.;81014107;01/02/2018;01/02/2018 00:25:58;;0;132310;25139;;;167060;;;;;0;;;;0;271;4272;18;
;33;Del Giro;99554560-8;COMERCIAL CCU S.A.;81014107;01/02/2018;;;;;;;;;;;;;;;;;;27;5339;10;
45;33;Del Giro;99554560-8;COMERCIAL CCU S.A.;81014108;01/02/2018;01/02/2018 00:25:58;;0;42201;8018;;;57503;;;;;0;;;;0;271;7284;18;
46;33;Del Giro;99554560-8;COMERCIAL CCU S.A.;81014109;01/02/2018;01/02/2018 00:25:58;;0;67998;12920;;;82320;;;;;0;;;;0;27;1402;10;
47;33;Del Giro;94528000-K;Evercrisp;15821295;01/02/2018;01/02/2018 03:32:12;;0;72472;13770;;;86242;;;;;0;;;;0;;;;
48;33;Del Giro;99524690-2;SDA S.A.;649576;01/02/2018;01/02/2018 04:00:10;;0;28188;5356;;;33544;;;;;0;;;;0;;;;
49;33;Del Giro;96606310-6;BREDENMASTER S.A.;1340409;01/02/2018;01/02/2018 04:39:16;;0;73103;13890;;;86993;;;;;0;;;;0;;;;
50;33;Del Giro;96689310-9;TRANSBANK S.A.;24260160;29/01/2018;01/02/2018 10:55:01;;0;54685;10390;;;65075;;;;;0;;;;0;;;;
51;33;Del Giro;76070419-9;COMERCIAL DICATO LTDA.;127171;02/02/2018;01/02/2018 18:22:13;;0;79921;15185;;;96389;;;;;0;;;;0;27;1283;10;
52;33;Del Giro;84348700-9;ABASTECEDORA DEL COMERCIO LTDA.;3957684;02/02/2018;02/02/2018 03:46:43;;0;31081;5906;;;36987;;;;;0;;;;0;;;;
53;33;Del Giro;79984240-8;AGROSUPER COMERCIALIZADORA DE ALIMENTOS LTDA.;64672101;02/02/2018;02/02/2018 10:36:47;;0;43975;8355;;;52330;;;;;0;;;;0;;;;
54;33;Del Giro;76742231-8;TELKO SPA;18;02/02/2018;02/02/2018 11:57:30;;0;48000;9120;;;57120;;;;;0;;;;0;;;;
55;33;Del Giro;52003754-3;FELIX E.BAEZA C.COM.ARC-DOS COMERC. EIRL;1553139;02/02/2018;02/02/2018 12:53:56;;0;17982;3417;;;21399;;;;;0;;;;0;;;;
