Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
1;33;Del Giro;77030204-8;INVERSIONES FERCHE SPA;1108;22/11/2020;22/11/2020 15:32:49;;0;55210;10490;;;65700;;;;;0;;;;0;;;;
2;33;Del Giro;76881543-7;LÁCTEOS DANIEL ROMERO SILVA EMPRESA E.I.R.L.;3253;18/11/2020;23/11/2020 01:35:44;;0;27037;5137;;;32174;;;;;0;;;;0;;;;
3;33;Del Giro;96606310-6;BREDENMASTER SpA;2055320;23/11/2020;23/11/2020 01:36:17;;0;124155;23589;;;147744;;;;;0;;;;0;;;;
4;33;Del Giro;91144000-8;Embotelladora Andina S.A.;66319203;24/11/2020;23/11/2020 09:02:57;;0;89989;17098;;;109935;;;;;0;;;;0;27;2848;10;
5;33;Del Giro;91144000-8;Embotelladora Andina S.A.;66319205;24/11/2020;23/11/2020 09:02:57;;0;159480;30301;;;209694;;;;;0;;;;0;271;14708;18;
;33;Del Giro;91144000-8;Embotelladora Andina S.A.;66319205;24/11/2020;;;;;;;;;;;;;;;;;;27;5205;10;
6;33;Del Giro;77086861-0;DISTRIBUIDORA MERIDA SPA;2267;23/11/2020;23/11/2020 12:28:43;;0;33110;6291;;;39401;;;;;0;;;;0;;;;
7;33;Del Giro;76891214-9;DIST.Y COMERCIAL CECILIO A. HIDALGO SPA;120840;24/11/2020;23/11/2020 12:59:38;;0;44917;8534;;;53451;;;;;0;;;;0;;;;
8;33;Del Giro;76378128-3;COMERCIALIZADORA M A LIMITADA;10288;23/11/2020;23/11/2020 16:29:43;;0;79832;15168;;;95000;;;;;0;;;;0;;;;
9;33;Del Giro;96591040-9;EMPRESAS CAROZZI S.A.;18212035;24/11/2020;23/11/2020 18:49:14;;0;121758;23134;;;144892;;;;;0;;;;0;;;;
10;33;Del Giro;76400343-8;COMERCIALIZADORA POLAR C P SPA;6651;23/11/2020;23/11/2020 23:05:16;;0;31839;6049;;;37888;;;;;0;;;;0;;;;
11;33;Del Giro;80634800-7;MODINGER HERMANOS SOCIEDAD ANONIMA;2907545;24/11/2020;24/11/2020 16:55:32;;0;21204;4029;;;25233;;;;;0;;;;0;;;;
12;33;Del Giro;81094100-6;COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA;21162198;25/11/2020;24/11/2020 21:26:12;;0;98967;18804;;;117771;;;;;0;;;;0;;;;
